sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 9,103,اورسام اولدى,"Ursam, öldi.","When I hit him, he died.","Ұрсам, өлді.","Когда я ударил, он умер.","Ursam, o‘ldi.","Vursam, öldü.","Ursam, öldi.",chg,phrase,2,
Ch 9,104,اورسام اولادور,"Ursam, öledür.","If I hit him, he will die.","Ұрсам, өледі.","Если я ударю, он умрет.","Ursam, o‘ladi.","Vurursam, ölür.","Ursam, öledür.",chg,phrase,2,
Ch 9,105,اورسام اولمادى,"Ursam, ölmedi.","When I hit him, he did not die.","Ұрсам, өлмеді.","Когда я ударил, он не умер.","Ursam, o‘lmadi.","Vursam, ölmedi.","Ursam, ölmedi.",chg,phrase,2,
Ch 9,106,اورسام اولمايدور,"Ursam, ölmeydür.","If I hit him, he will not die.","Ұрсам, өлмейді.","Если я ударю, он не умрет.","Ursam, o‘lmaydi.","Vurursam, ölmez.","Ursam, ölmeydür.",chg,phrase,2,
Ch 9,107,اويدين چيقسام اون تورت ميلطيق ليق تونکانلار مني باغلاب تغارغە قويدى لار,"Üydin çıqsam, on tört mılṭıqlıq Tunganlar meni baǧlap taǧarǧa qoydılar.","When I left the house, fourteen rifle-toting Dungans tied me up and put me in a bag.","Үйден шықсам, он төрт мылтықты дүнгендер мені байлап, қапқа салды.","Когда я вышел из дома, четырнадцать вооруженных дунган связали меня и посадили в мешок.","Uydan chiqsam, o‘n to‘rt miltiqli tunganlar meni bog‘lab tag‘orga qo‘ydilar.","Evden çıksam, on dört tüfekli Tunganlar beni bağlayıp çuvala koydular.","Üydin çıqsam, on tört mılṭıqlıq Tunganlar meni baǧlap taǧarǧa qoydılar.",chg,sentence,10,
Ch 9,108,يماتوغە کلسە  کيمەجي يوق,"Yamatuǧa kelse, kemeçi yoq.","When they came to Yamatu, there was no ferryman.","Яматуға келсе, кемеші жоқ.","Когда пришли в Ямату, паромщика не было.","Yamatuga kelsa, kemachi yo‘q.","Yamatu'ya gelse, gemici yok.","Yamatuǧa kelse, kemeçi yoq.",chg,phrase,4,
Ch 9,129,جونك كيچيک,çoñ kiçik,both large and small,үлкен-кіші,и стар и млад,katta-kichik,büyük küçük,çoñ kiçik,chg,phrase,2,
Ch 9,130,اير مظلوم,ér maẓlūm,both men and women,ер мен әйел,мужчины и женщины,er-mazlum,erkek ve kadın,ér maẓlūm,chg,phrase,2,
Ch 9,131,خبر بەرماي باردىنکیز,Ḫabar bermey bardıñız.,You went without giving news.,Хабар бермей бардыңыздар.,"Вы пошли, не дав вестей.",Xabar bermay bordingiz.,Haber vermeden gittiniz.,Ḫabar bermey bardıñız.,chg,phrase,3,
Ch 9,132,خبر بەرماي باردىکىز,Ḫabar bermey bardıñız,You went without letting me know.,Хабар бермей бардыңыздар.,"Вы пошли, не дав мне знать.",Xabar bermay bordingiz.,Haber vermeden gittiniz.,Ḫabar bermey bardıñız,chg,phrase,3,
Ch 9,133,اولار غرق بولماى قاچتي لار,Olar ǧarq bolmay qaçtılar.,They did not drown but fled.,"Олар суға батпай, қашып кетті.","Они не утонули, а убежали.",Ular g‘arq bo‘lmay qochdilar.,Onlar boğulmayıp kaçtılar.,Olar ǧarq bolmay qaçtılar.,chg,phrase,4,
Ch 9,134,نچە يوز جان هيچ توختاماى بلا برقەسى برلان درياغە کيريب,"Neçe yüz cān hı̇̄ç toḫtamay, bala-barqası birlän daryāǧa kirip","Without stopping at all, hundreds of souls entered the river with their children.","Неше жүз жан еш тоқтамай, бала-шағасымен дарияға кіріп","Несколько сотен душ, совсем не останавливаясь, вошли в реку с детьми","Necha yuz jon hech to‘xtamay, bola-chaqasi bilan daryoga kirib","Nice yüz can hiç durmadan, çoluk çocuğuyla nehre girip","Neçe yüz cān hı̇̄ç toḫtamay, bala-barqası birlän daryāǧa kirip",chg,sentence,9,
Ch 9,135,قالماقلار غلبە قيلماى  قاشتي,Qalmaqlar ǧalaba qılmay qaştı.,"The Kalmyks were not victorious, and they fled.",Қалмақтар жеңіске жетпей қашты.,Калмыки не одержали победу и бежали.,Qalmoqlar g‘alaba qilmay qochdi.,Kalmuklar galip gelmeyip kaçtı.,Qalmaqlar ǧalaba qılmay qaştı.,chg,phrase,4,
Ch 9,139,چافان باشین ديکان ير,“çafan Başin” dégen  yer,a place called Chapan Bashin,"""Чапан Башин"" деген жер","место под названием ""Чапан-Башин""","""Chapan Bashin"" degan yer","""Çapan Başin"" denen yer",“çafan Başin” dégen  yer,chg,phrase,4,
Ch 9,140,چن لونك ديكان خان,“çen Loñ” dégen  ḫan,the khan called Qianlong,"""Цяньлун"" деген хан",хан по имени Цяньлун,"""Chan Long"" degan xon","""Çien Lung"" denen han",“çen Loñ” dégen  ḫan,chg,phrase,4,
Ch 9,143,قاچماسام اولامن ديب قاچت,"“Qaçmasam ölemen,” dép qaçtı.","He fled because, if he did not flee, he would die.","""Қашпасам өлемін"" деп қашты.","""Если не убегу, умру"", - подумал он и убежал.","""Qochmasam o‘laman"", deb qochdi.","""Kaçmazsam ölürüm,"" deyip kaçtı.","“Qaçmasam ölemen,” dép qaçtı.",chg,phrase,4,
Ch 9,144,قاچماسام اولامن ديب قاچت,"“Qaçmasam ölemen,” dép qaçtı.","“If I don’t flee, I’ll die!” he said, and he fled.","""Қашпасам өлемін"" деп қашты.","""Если не убегу, умру"", - сказал он и убежал.","""Qochmasam o‘laman"", deb qochdi.","""Kaçmazsam ölürüm,"" deyip kaçtı.","“Qaçmasam ölemen,” dép qaçtı.",chg,phrase,4,
Ch 9,145,خطاى دە يخشي ميوە بار ديب شرقي طرفکە بارديم,"“Ḫıṭāyda yaḫşı mı̇̄wa bar,” dép şarq ṭarafke bardım.",I went to the east because there is good fruit in China.,"""Қытайда жақсы жеміс бар"" деп, шығыс жаққа бардым.","""В Китае есть хорошие фрукты"", - подумал я и пошел на восток.","""Xitoyda yaxshi meva bor"", deb sharq tarafga bordim.","""Çin'de iyi meyve var,"" deyip doğu tarafına vardım.","“Ḫıṭāyda yaḫşı mı̇̄wa bar,” dép şarq ṭarafke bardım.",chg,sentence,8,
Ch 9,146,خطاى دە يخشي ميوە بار ديب شرقي طرفکە بارديم,"“Ḫıṭāyda yaḫşı mı̇̄wa bar,” dép şarq ṭarafke bardım.","I said, “There’s good fruit in China,” and I went to the east","""Қытайда жақсы жеміс бар"" деп, шығыс жаққа бардым.","Я сказал: ""В Китае есть хорошие фрукты"", и пошел на восток.","""Xitoyda yaxshi meva bor"", deb sharq tarafga bordim.","""Çin'de iyi meyve var,"" deyip doğu tarafına vardım.","“Ḫıṭāyda yaḫşı mı̇̄wa bar,” dép şarq ṭarafke bardım.",chg,sentence,8,
Ch 9,148,ينە برمونچە تونکانلار احمت خان توختە آخونلار برلان وهم ملا شوکت آخوندنی کورەغە قاچوروب,"Yana bir munça Tunganlar Aḥmat Ḫan, Toḫta Āḫūnlar birlän wa häm Mollā şäwkät Āḫūndnı Küräǧa qaçurup","Several more Tungans chased Ahmad Khan and Tokhta Akhund, along with Mullah Shawkat Akhund, back to Kura.","Тағы бірнеше дүнген Ахмет хан, Тоқта ахундармен және Молла Шәукет ахунды Күреге қашырып","И еще несколько дунган погнали Ахмат-хана, Тохта-ахуна и Мулла Шавкат-ахуна в Кюре","Yana bir muncha tunganlar Ahmad xon, To‘xta oxunlar bilan va ham Mulla Shavkat oxunni Kuraga qochirib","Yine bir nice Tunganlar Ahmet Han, Tohta Ahunlar ile ve hem Molla Şevket Ahunu Küre'ye kaçırıp","Yana bir munça Tunganlar Aḥmat Ḫan, Toḫta Āḫūnlar birlän wa häm Mollā şäwkät Āḫūndnı Küräǧa qaçurup",chg,sentence,16,
Ch 9,149,کرکان يريدين تونکانيلارنی اولتوروب,kirgen yeridin Tunganlarnı öltürüp,"Where they entered, they killed the Tungans.",кірген жерден дүнгендерді өлтіріп,"там, где вошли, убив дунган",kirgan yeridan tunganlarni o‘ldirib,girdiği yerden Tunganları öldürüp,kirgen yeridin Tunganlarnı öltürüp,chg,phrase,4,
Ch 9,150,احمت خان باشليق بو اوچني توتوب باغلاب اليب چيقيب,Aḥmat Ḫan başlıq bu üçni tutup baǧlap alıp çıqıp,"But they captured these three, led by Ahmad Khan, tied them up, and took them away.","Ахмет хан бастаған бұл үшеуін ұстап, байлап, алып шығып","схватив этих троих во главе с Ахмат-ханом, связав и выведя","Ahmad xon boshliq bu uchni tutib, bog‘lab, olib chiqib","Ahmet Han önderliğindeki bu üçünü tutup, bağlayıp, alıp çıkıp",Aḥmat Ḫan başlıq bu üçni tutup baǧlap alıp çıqıp,chg,sentence,9,
Ch 9,151,احمت خان ني شول يردە اولتوروب,Aḥmat Ḫannı şol yerde öltürüp,They killed Ahmad Khan there.,Ахмет ханды сол жерде өлтіріп,убив Ахмат-хана на том месте,Ahmad xonni shul yerda o‘ldirib,Ahmet Han'ı şu yerde öldürüp,Aḥmat Ḫannı şol yerde öltürüp,chg,sentence,5,
Ch 9,152,ملا شوکت آخون ني زندانغە سولاب,Mollā şäwkät Āḫūnnı zindānǧa solap,They locked Mullah Shawkat Akhund up in jail.,Молла Шәукет ахунды зынданға қамап,заперев Муллу Шавкат-ахуна в тюрьме,Mulla Shavkat oxunni zindonga solib,Molla Şevket Ahun'u zindana atıp,Mollā şäwkät Āḫūnnı zindānǧa solap,chg,sentence,5,
Ch 9,153,توختە آخون خوجەني بولاق بيشيغە اليب بريب اويکە سولاب قويوب,"Toḫta Āḫūn Ḫocanı Bulaq Başıǧa alıp barıp, üyge solap qoyup",Tokhta Akhund Khwaja was taken to Bulaq Beshi and locked up in a house.,"Тоқта ахун қожаны Бұлақ басына алып барып, үйге қамап қойып",Тохта-ахун Ходжу отвели в Булак-Баши и заперли в доме,"To‘xta oxun xo‘jani Buloqboshiga olib borib, uyga solib qo‘yib","Tohta Ahun Hoca'yı Bulakbaşı'na alıp varıp, eve kapatıp koyup","Toḫta Āḫūn Ḫocanı Bulaq Başıǧa alıp barıp, üyge solap qoyup",chg,sentence,10,
Ch 9,154,نچن کوندين كين قاضى عسکر قوتلوق باچکيرني نچن آداملار برلان بو يردين کيچەدە کيليب,neççen kündin keyin Qāż ʿAskar Qutluq Bāçkı̇̄rni neççen ādamlar birlän bu yérdin keçede kélip,"A few days later, Chief Judge Qutluq Bachkir came to this place with a few people.",Бірнеше күннен кейін қазы әскер Құтлық Бәчкір бірнеше адамдармен бұл жерге кешкісін келіп,Через несколько дней кази-аскер Кутлук Бачкир с несколькими людьми пришел в это место ночью,Necha kundan keyin qozi askar Qutluq Bachkir necha odamlar bilan bu yerdan kechada kelib,Nice günden sonra Kazasker Kutluk Baçkir nice adamlar ile bu yerden gecede gelip,neççen kündin keyin Qāż ʿAskar Qutluq Bāçkı̇̄rni neççen ādamlar birlän bu yérdin keçede kélip,chg,sentence,14,
Ch 9,155,شوکت آخون ني اليب بیريب تغارغە سولاب درياغە تاشلاب اولتورکان,"şäwkät Āḫūnnı alıp berip, taǧarǧa solap, daryāǧa taşlap öltürgen","They took Shawkat Akhund out for them, put him in a bag, and threw him into the river, killing him.","Шәукет ахунды алып беріп, қапқа салып, дарияға тастап өлтірген","взяв Шавкат-ахуна, посадив в мешок и бросив в реку, убили","Shavkat oxunni olib berib, tag‘orga solib, daryoga tashlab o‘ldirgan","Şevket Ahun'u alıp verip, çuvala koyup, nehre atıp öldürmüş","şäwkät Āḫūnnı alıp berip, taǧarǧa solap, daryāǧa taşlap öltürgen",chg,sentence,9,
Ch 9,156,توختە آخون ني ياتقان اويدە ملطيق برلان اتيب اولتورکان,Toḫta Āḫūnnı yatqan üyde mılṭıq birlän atıp öltürgen,They shot Tokhta Akhund with a rifle in the house where he was staying.,Тоқта ахунды жатқан үйде мылтықпен атып өлтірген,"Тохта-ахуна застрелили из ружья в доме, где он лежал",To‘xta oxunni yotgan uyda miltiq bilan otib o‘ldirgan,Tohta Ahun'u yattığı evde tüfekle atıp öldürmüş,Toḫta Āḫūnnı yatqan üyde mılṭıq birlän atıp öltürgen,chg,sentence,8,
Ch 9,157,اندين بو يورت تالاشادورغانلارنينک همەسى توگاب,andın bu yurt talaşadurǧanlarnıñ hämmäsi tügep,Then all of those who were fighting over this land were finished,Содан кейін бұл жұрт таласатындардың барлығы түгесіліп,"Затем все те, кто боролся за эту страну, погибли",Undan keyin bu yurt talashadiganlarning hammasi tugab,Ondan sonra bu yurt dalaşanlarının hepsi tükenip,andın bu yurt talaşadurǧanlarnıñ hämmäsi tügep,chg,sentence,6,
